,Freebase,DBpedia,Similarity Value
Class,http://rdf.freebase.com/ns/music.artist,http://dbpedia.org/ontology/MusicalArtist,1
,http://rdf.freebase.com/ns/film.film_company,http://dbpedia.org/ontology/Company,0.6086956
,http://rdf.freebase.com/ns/film.film_festival,http://dbpedia.org/ontology/FilmFestival,0.7027027
,http://rdf.freebase.com/ns/film.film,http://dbpedia.org/ontology/Film,1
,http://rdf.freebase.com/ns/film.writer,http://dbpedia.org/ontology/Writer,0.5714286
Correct Match,5,,
,,,
property,http://rdf.freebase.com/ns/film.film_film_company_relationship.role_service,http://dbpedia.org/ontology/service,0.6086956
,http://rdf.freebase.com/ns/film.film_cut.runtime,http://dbpedia.org/ontology/runtime,0.6363636
,http://rdf.freebase.com/ns/film.film.initial_release_date,http://dbpedia.org/ontology/releaseDate,1
,http://rdf.freebase.com/ns/film.film.cinematography,http://dbpedia.org/ontology/cinematography,1
,http://rdf.freebase.com/ns/film.film_film_distributor_relationship.distributor,http://dbpedia.org/ontology/distributor,1
,http://rdf.freebase.com/ns/film.film.executive_produced_by,http://dbpedia.org/ontology/executiveProducer,0.7906977
,http://rdf.freebase.com/ns/film.film.genre,http://dbpedia.org/ontology/genre,0.6666667
,http://rdf.freebase.com/ns/film.film.language,http://dbpedia.org/ontology/language,0.7619048
,http://rdf.freebase.com/ns/film.film_festival.location,http://dbpedia.org/ontology/location,1
,http://rdf.freebase.com/ns/film.film.music,http://dbpedia.org/ontology/musicBy,1
,http://rdf.freebase.com/ns/film.personal_film_appearance.person,http://dbpedia.org/ontology/person,1
,http://rdf.freebase.com/ns/film.film_film_distributor_relationship.region,http://dbpedia.org/ontology/region,1
,http://rdf.freebase.com/ns/film.film.film_series,http://dbpedia.org/ontology/series,0.6
Correct Match,13,,
,,,
Total match,54,,
Precision: 18/54=33.33%,Recall: 18/63=28.57%,,
