,Freebase,DBpedia,Similarity Value
Class,http://rdf.freebase.com/ns/film.film,http://dbpedia.org/ontology/Film,1
,http://rdf.freebase.com/ns/film.film_festival,http://dbpedia.org/ontology/FilmFestival,1
,http://rdf.freebase.com/ns/music.artist,http://dbpedia.org/ontology/MusicalArtist,1
Correct Match,3,,
,,,
property,http://rdf.freebase.com/ns/film.film_film_distributor_relationship.distributor,http://dbpedia.org/ontology/distributor,1
,http://rdf.freebase.com/ns/film.dubbing_performance.film,http://dbpedia.org/ontology/film,1
,http://rdf.freebase.com/ns/film.film_cut.film,,
,http://rdf.freebase.com/ns/film.performance.film,,
,http://rdf.freebase.com/ns/film.film.music,http://dbpedia.org/ontology/musicBy,1
,http://rdf.freebase.com/ns/film.film_festival_event.closing_date,http://dbpedia.org/ontology/closingDate,1
,http://rdf.freebase.com/ns/film.film_festival_event.opening_date,http://dbpedia.org/ontology/openingDate,1
Correct Match,7,,
,,,
Total match,29,,
Precision: 10/29=34.48%,Recall: 10/63=15.87%,,
