,Freebase,DBpedia,Similarity Value
Class,http://rdf.freebase.com/ns/film.film,http://dbpedia.org/ontology/Film,0.615384615
,http://rdf.freebase.com/ns/film.film_festival,http://dbpedia.org/ontology/FilmFestival,0.533333333
,http://rdf.freebase.com/ns/film.actor,http://dbpedia.org/ontology/Actor,0.666666667
,http://rdf.freebase.com/ns/language.human_language,http://dbpedia.org/ontology/Language,0.516129032
,http://rdf.freebase.com/ns/location.country,http://dbpedia.org/ontology/Country,0.608695652
,http://rdf.freebase.com/ns/film.writer,http://dbpedia.org/ontology/Writer,0.705882353
,http://rdf.freebase.com/ns/film.film_company,http://dbpedia.org/ontology/Company,0.583333333
Correct Match,7,,
,,,
property,http://rdf.freebase.com/ns/film.film.cinematography,http://dbpedia.org/ontology/cinematography,0.736842105
,http://rdf.freebase.com/ns/film.film.country,http://dbpedia.org/ontology/country,0.583333333
,,http://dbpedia.org/ontology/lawCountry,0.518518519
,http://rdf.freebase.com/ns/film.film.language,http://dbpedia.org/ontology/language,0.615384615
,http://rdf.freebase.com/ns/film.film.starring,http://dbpedia.org/ontology/starring,0.615384615
,http://rdf.freebase.com/ns/film.film.genre,http://dbpedia.org/ontology/genre,0.5
,http://rdf.freebase.com/ns/film.film_cut.runtime,http://dbpedia.org/ontology/Work/runtime,0.5
,,http://dbpedia.org/ontology/runtime,
,http://rdf.freebase.com/ns/film.film.runtime,http://dbpedia.org/ontology/Work/runtime,0.583333333
,,http://dbpedia.org/ontology/runtime,
,http://rdf.freebase.com/ns/film.film.rating,http://dbpedia.org/ontology/rating,0.545454545
,http://rdf.freebase.com/ns/film.producer.film,http://dbpedia.org/ontology/produces,0.538461538
,http://rdf.freebase.com/ns/film.film.distributors,http://dbpedia.org/ontology/distributor,0.666666667
Correct Match,10,,
,,,
Total match,65,,
Precision: 17/65=26.15%,Recall: 17/63=26.98%,,
