,Freebase,DBpedia,Similarity Value
Class,http://rdf.freebase.com/ns/music.artist,http://dbpedia.org/ontology/MusicalArtist,0.7821914
,http://rdf.freebase.com/ns/language.human_language,http://dbpedia.org/ontology/Language,0.58064514
,http://rdf.freebase.com/ns/film.film_company,http://dbpedia.org/ontology/Company,0.43581244
,http://rdf.freebase.com/ns/film.film,http://dbpedia.org/ontology/Film,0.74468154
,http://rdf.freebase.com/ns/film.writer,http://dbpedia.org/ontology/Writer,0.4
Correct Match,5,,
,,,
property,http://rdf.freebase.com/ns/film.film_film_company_relationship.role_service,http://dbpedia.org/ontology/service,0.42608693
,http://rdf.freebase.com/ns/film.film.gross_revenue,http://dbpedia.org/ontology/gross,0.3677585
,http://rdf.freebase.com/ns/film.film_cut.runtime,http://dbpedia.org/ontology/runtime,0.504143
,http://rdf.freebase.com/ns/film.film.cinematography,http://dbpedia.org/ontology/cinematography,0.75283206
,http://rdf.freebase.com/ns/film.film_film_distributor_relationship.distributor,http://dbpedia.org/ontology/distributor,0.7104233
,http://rdf.freebase.com/ns/film.film.executive_produced_by,http://dbpedia.org/ontology/executiveProducer,0.5534884
,http://rdf.freebase.com/ns/film.film.genre,http://dbpedia.org/ontology/genre,0.46666667
,http://rdf.freebase.com/ns/film.film.language,http://dbpedia.org/ontology/language,0.53333336
,http://rdf.freebase.com/ns/film.film_festival.location,http://dbpedia.org/ontology/location,0.7
,http://rdf.freebase.com/ns/film.film.music,http://dbpedia.org/ontology/musicBy,0.7
,http://rdf.freebase.com/ns/film.personal_film_appearance.person,http://dbpedia.org/ontology/person,0.7115345
,http://rdf.freebase.com/ns/film.film_film_distributor_relationship.region,http://dbpedia.org/ontology/region,0.7
,http://rdf.freebase.com/ns/film.film.film_series,http://dbpedia.org/ontology/series,0.42000002
Correct Match,13,,
,,,
Total match,87,,
Precision: 18/87=20.69%,Recall: 18/63=28.57%,,
